FAKE_DATA,measure,interval_start,interval_end,ratio,numerator,denominator,sex,age_band
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.7142857142857143,25,35,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.8888888888888888,40,45,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.8571428571428571,30,35,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.78125,125,160,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.625,25,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.75,30,40,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.75,30,40,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.6666666666666666,20,30,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.7142857142857143,25,35,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.8181818181818182,45,55,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.75,30,40,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.7142857142857143,25,35,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.6666666666666666,20,30,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.6666666666666666,20,30,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.8,40,50,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.8108108108108109,150,185,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.8,20,25,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.7,35,50,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.75,30,40,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.8888888888888888,40,45,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.8571428571428571,30,35,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.78125,125,160,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.625,25,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.6666666666666666,30,45,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.625,25,40,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.6666666666666666,20,30,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.7142857142857143,25,35,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.7272727272727273,40,55,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.6666666666666666,30,45,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.7142857142857143,25,35,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.6666666666666666,20,30,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.8,20,25,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2018-04-01,2019-03-31,0.7777777777777778,35,45,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.8108108108108109,150,185,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.6666666666666666,20,30,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.7777777777777778,35,45,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.75,30,40,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.8,40,50,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.875,35,40,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.7878787878787878,130,165,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.625,25,40,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.75,30,40,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.7777777777777778,35,45,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.6,15,25,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.8333333333333334,25,30,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.7272727272727273,40,55,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.625,25,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.8,20,25,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.8,20,25,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.6666666666666666,30,45,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2019-04-01,2020-03-31,0.7,35,50,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.8205128205128205,160,195,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.8,20,25,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.7,35,50,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.75,30,40,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.7777777777777778,35,45,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.8888888888888888,40,45,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.7647058823529411,130,170,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.625,25,40,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.75,30,40,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.75,15,20,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.8333333333333334,25,30,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.8,40,50,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.625,25,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.6,15,25,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.8,20,25,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.7,35,50,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.7777777777777778,35,45,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2020-04-01,2021-03-31,0.7777777777777778,35,45,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8461538461538461,165,195,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8333333333333334,25,30,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8,40,50,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.75,30,40,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8,40,50,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8,140,175,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.75,30,40,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.6666666666666666,30,45,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.75,15,20,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8,20,25,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.7777777777777778,35,45,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.7,35,50,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.625,25,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.75,30,40,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.75,15,20,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.8,20,25,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.7,35,50,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2021-04-01,2022-03-31,0.7777777777777778,35,45,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.8461538461538461,165,195,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.8333333333333334,25,30,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.7,35,50,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.8333333333333334,25,30,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.7777777777777778,35,45,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.75,30,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.8,140,175,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.6666666666666666,30,45,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.7,35,50,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,1.0,15,15,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.875,35,40,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.8,40,50,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.7777777777777778,35,45,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.7,35,50,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.75,15,20,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.8333333333333334,25,30,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.7,35,50,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2022-04-01,2023-03-31,0.75,15,20,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.8461538461538461,165,195,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.6,15,25,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.7777777777777778,35,45,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.8333333333333334,25,30,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.7777777777777778,35,45,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.6666666666666666,30,45,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.8055555555555556,145,180,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.6666666666666666,30,45,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.7777777777777778,35,45,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.8333333333333334,25,30,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.7777777777777778,35,45,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.9,45,50,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.7777777777777778,35,45,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.7777777777777778,35,45,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.75,15,20,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.6666666666666666,20,30,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,0.8,40,50,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2023-04-01,2024-03-31,1.0,10,10,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.868421052631579,165,190,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.6,15,25,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.6666666666666666,30,45,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.7272727272727273,40,55,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.7777777777777778,35,45,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.7777777777777778,35,45,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.8055555555555556,145,180,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.75,30,40,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.8888888888888888,40,45,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.7142857142857143,25,35,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.875,35,40,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.8888888888888888,40,45,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.7777777777777778,35,45,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.8333333333333334,25,30,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.8333333333333334,25,30,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,0.8,40,50,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,,0,0,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2024-04-01,2025-03-31,1.0,10,10,male,0 to 9
