FAKE_DATA,median,size,timestamp,Unnamed: 0,age_band,year_of_medication,sex,mean
FAKE_DATA,15,10.0,01_09_2025_16_05,62,0 to 9,2017-2018,ALL,68
FAKE_DATA,52,10.0,01_09_2025_16_05,63,0 to 9,2018-2019,ALL,64
FAKE_DATA,21,20.0,01_09_2025_16_05,64,0 to 9,2019-2020,ALL,42
FAKE_DATA,56,20.0,01_09_2025_16_05,65,0 to 9,2020-2021,ALL,74
FAKE_DATA,31,20.0,01_09_2025_16_05,66,0 to 9,2021-2022,ALL,51
FAKE_DATA,88,10.0,01_09_2025_16_05,67,0 to 9,2022-2023,ALL,115
FAKE_DATA,62,20.0,01_09_2025_16_05,68,0 to 9,2023-2024,ALL,94
FAKE_DATA,18,20.0,01_09_2025_16_05,69,0 to 9,2024-2025,ALL,52
FAKE_DATA,82,10.0,01_09_2025_16_05,70,10 to 17,2016-2017,ALL,82
FAKE_DATA,87,10.0,01_09_2025_16_05,71,10 to 17,2018-2019,ALL,282
FAKE_DATA,204,10.0,01_09_2025_16_05,72,10 to 17,2019-2020,ALL,204
FAKE_DATA,456,10.0,01_09_2025_16_05,73,10 to 17,2020-2021,ALL,414
FAKE_DATA,166,10.0,01_09_2025_16_05,74,10 to 17,2021-2022,ALL,166
FAKE_DATA,48,10.0,01_09_2025_16_05,75,10 to 17,2022-2023,ALL,48
FAKE_DATA,545,10.0,01_09_2025_16_05,76,10 to 17,2023-2024,ALL,367
FAKE_DATA,338,10.0,01_09_2025_16_05,77,10 to 17,2024-2025,ALL,377
FAKE_DATA,502,10.0,01_09_2025_16_05,78,18 to 24,2016-2017,ALL,502
FAKE_DATA,567,10.0,01_09_2025_16_05,79,18 to 24,2017-2018,ALL,567
FAKE_DATA,786,10.0,01_09_2025_16_05,80,18 to 24,2018-2019,ALL,786
FAKE_DATA,411,10.0,01_09_2025_16_05,81,18 to 24,2019-2020,ALL,411
FAKE_DATA,94,10.0,01_09_2025_16_05,82,18 to 24,2021-2022,ALL,94
FAKE_DATA,662,10.0,01_09_2025_16_05,83,18 to 24,2022-2023,ALL,662
FAKE_DATA,638,10.0,01_09_2025_16_05,84,18 to 24,2023-2024,ALL,638
FAKE_DATA,27,10.0,01_09_2025_16_05,85,25 to 34,2018-2019,ALL,103
FAKE_DATA,836,10.0,01_09_2025_16_05,86,25 to 34,2021-2022,ALL,836
FAKE_DATA,779,10.0,01_09_2025_16_05,87,25 to 34,2022-2023,ALL,779
FAKE_DATA,1148,10.0,01_09_2025_16_05,88,25 to 34,2023-2024,ALL,1014
FAKE_DATA,1174,10.0,01_09_2025_16_05,89,25 to 34,2024-2025,ALL,1174
FAKE_DATA,844,10.0,01_09_2025_16_05,90,35 and over,2016-2017,ALL,844
FAKE_DATA,767,10.0,01_09_2025_16_05,91,35 and over,2017-2018,ALL,767
FAKE_DATA,1499,10.0,01_09_2025_16_05,92,35 and over,2018-2019,ALL,1798
FAKE_DATA,1238,10.0,01_09_2025_16_05,93,35 and over,2019-2020,ALL,1238
FAKE_DATA,3153,10.0,01_09_2025_16_05,94,35 and over,2020-2021,ALL,3153
FAKE_DATA,132,10.0,01_09_2025_16_05,95,35 and over,2021-2022,ALL,132
FAKE_DATA,1707,10.0,01_09_2025_16_05,96,35 and over,2022-2023,ALL,1515
FAKE_DATA,1524,10.0,01_09_2025_16_05,97,35 and over,2023-2024,ALL,1524
FAKE_DATA,1272,10.0,01_09_2025_16_05,98,35 and over,2024-2025,ALL,1272
FAKE_DATA,123,10.0,01_09_2025_16_05,99,ALL,2016-2017,female,254
FAKE_DATA,64,10.0,01_09_2025_16_05,100,ALL,2016-2017,male,252
FAKE_DATA,90,10.0,01_09_2025_16_05,101,ALL,2017-2018,female,267
FAKE_DATA,7,10.0,01_09_2025_16_05,102,ALL,2017-2018,male,35
FAKE_DATA,410,20.0,01_09_2025_16_05,103,ALL,2018-2019,female,884
FAKE_DATA,87,20.0,01_09_2025_16_05,104,ALL,2018-2019,male,251
FAKE_DATA,24,10.0,01_09_2025_16_05,105,ALL,2019-2020,female,60
FAKE_DATA,285,10.0,01_09_2025_16_05,106,ALL,2019-2020,male,525
FAKE_DATA,44,10.0,01_09_2025_16_05,107,ALL,2020-2021,female,74
FAKE_DATA,312,10.0,01_09_2025_16_05,108,ALL,2020-2021,male,972
FAKE_DATA,68,10.0,01_09_2025_16_05,109,ALL,2021-2022,female,104
FAKE_DATA,64,10.0,01_09_2025_16_05,110,ALL,2021-2022,male,242
FAKE_DATA,88,10.0,01_09_2025_16_05,111,ALL,2022-2023,female,365
FAKE_DATA,662,10.0,01_09_2025_16_05,112,ALL,2022-2023,male,671
FAKE_DATA,66,20.0,01_09_2025_16_05,113,ALL,2023-2024,female,295
FAKE_DATA,549,20.0,01_09_2025_16_05,114,ALL,2023-2024,male,587
FAKE_DATA,18,20.0,01_09_2025_16_05,115,ALL,2024-2025,female,170
FAKE_DATA,90,10.0,01_09_2025_16_05,116,ALL,2024-2025,male,338
FAKE_DATA,122,20.0,01_09_2025_16_05,117,ALL,2016-2017,ALL,253
FAKE_DATA,89,20.0,01_09_2025_16_05,118,ALL,2017-2018,ALL,209
FAKE_DATA,117,30.0,01_09_2025_16_05,119,ALL,2018-2019,ALL,581
FAKE_DATA,34,20.0,01_09_2025_16_05,120,ALL,2019-2020,ALL,234
FAKE_DATA,85,20.0,01_09_2025_16_05,121,ALL,2020-2021,ALL,523
FAKE_DATA,66,20.0,01_09_2025_16_05,122,ALL,2021-2022,ALL,164
FAKE_DATA,163,20.0,01_09_2025_16_05,123,ALL,2022-2023,ALL,467
FAKE_DATA,164,30.0,01_09_2025_16_05,124,ALL,2023-2024,ALL,447
FAKE_DATA,28,30.0,01_09_2025_16_05,125,ALL,2024-2025,ALL,232
