LSOA code (2011),Unnamed: 0,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),pcd7,pcd8,pcds,dointr,doterm,usertype,oa11,msoa11cd,ladcd,lsoa11nm,msoa11nm,ladnm,ladnmw,FID
E01000030,29,Barking and Dagenham 001D,E09000002,Barking and Dagenham,38.415,4760,2,0.264,3448,2,0.162,5569,2,38.753,5699,2,0.016,15751,5,0.499,9086,3,44.592,1127,1,20.993000000000002,14570,5,RM6 5EL,RM6  5EL,RM6 5EL,198001,0,0,E00000142,E02000002,E09000002,Barking and Dagenham 001D,Barking and Dagenham 001,Barking and Dagenham,,1917678
E01000031,30,Barking and Dagenham 002A,E09000002,Barking and Dagenham,22.671999999999997,12267,4,0.126,12951,4,0.075,17380,6,12.953,19087,6,0.046,15303,5,0.919,4231,2,34.14,4505,2,27.703000000000003,10136,4,RM6 5QX,RM6  5QX,RM6 5QX,198001,0,0,E00000146,E02000003,E09000002,Barking and Dagenham 002A,Barking and Dagenham 002,Barking and Dagenham,,1918013
E01000032,31,Barking and Dagenham 002B,E09000002,Barking and Dagenham,29.958000000000002,8037,3,0.146,10854,4,0.106,11603,4,23.035,11882,4,0.095,14597,5,0.9129999999999999,4275,2,39.922,2210,1,38.369,4853,2,RM6 4BF,RM6  4BF,RM6 4BF,199301,0,0,E00000154,E02000003,E09000002,Barking and Dagenham 002B,Barking and Dagenham 002,Barking and Dagenham,,1917309
E01000033,32,Barking and Dagenham 006A,E09000002,Barking and Dagenham,37.978,4879,2,0.257,3732,2,0.136,7857,3,32.037,7805,3,0.278,11932,4,0.162,14128,5,55.68600000000001,52,1,21.763,14002,5,RM107DZ,RM10 7DZ,RM10 7DZ,199606,199708,1,E00000172,E02000007,E09000002,Barking and Dagenham 006A,Barking and Dagenham 006,Barking and Dagenham,,1906823
E01000034,33,Barking and Dagenham 003A,E09000002,Barking and Dagenham,35.895,5575,2,0.21600000000000003,5759,2,0.147,6863,3,33.858000000000004,7148,3,0.6609999999999999,7279,3,0.302,11900,4,45.083,1044,1,18.01,16800,6,RM107AL,RM10 7AL,RM10 7AL,198001,0,0,E00000170,E02000004,E09000002,Barking and Dagenham 003A,Barking and Dagenham 003,Barking and Dagenham,,1906857
E01000035,34,Barking and Dagenham 010A,E09000002,Barking and Dagenham,26.175,10070,4,0.15,10489,4,0.092,13897,5,25.535999999999998,10551,4,0.397,10364,4,0.242,12838,4,39.025,2476,1,23.070999999999998,13084,4,RM107EA,RM10 7EA,RM10 7EA,198001,0,0,E00000173,E02000011,E09000002,Barking and Dagenham 010A,Barking and Dagenham 010,Barking and Dagenham,,1906858
E01000036,35,Barking and Dagenham 010B,E09000002,Barking and Dagenham,19.27,15028,5,0.11199999999999999,14690,5,0.073,17997,6,15.969000000000001,16612,6,-0.185,18923,6,0.386,10655,4,31.724,5829,2,27.612,10188,4,RM108HA,RM10 8HA,RM10 8HA,198001,0,0,E00000174,E02000011,E09000002,Barking and Dagenham 010B,Barking and Dagenham 010,Barking and Dagenham,,1907218
E01000037,36,Barking and Dagenham 003B,E09000002,Barking and Dagenham,17.988,16128,5,0.096,16924,6,0.10099999999999999,12386,4,20.288,13611,5,-0.504,23465,8,-0.067,17649,6,29.715,7168,3,19.057000000000002,15997,5,RM7 0RS,RM7  0RS,RM7 0RS,198001,0,0,E00000185,E02000004,E09000002,Barking and Dagenham 003B,Barking and Dagenham 003,Barking and Dagenham,,1918431
E01000038,37,Barking and Dagenham 003C,E09000002,Barking and Dagenham,19.646,14671,5,0.127,12877,4,0.079,16560,6,18.702,14630,5,-0.10300000000000001,17616,6,0.204,13426,5,27.945,8490,3,27.000999999999998,10547,4,RM7 0BW,RM7  0BW,RM7 0BW,199706,199806,1,E00000186,E02000004,E09000002,Barking and Dagenham 003C,Barking and Dagenham 003,Barking and Dagenham,,1918015
E01000039,38,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.288,12542,4,0.127,12861,4,0.07400000000000001,17820,6,19.753,13908,5,0.17300000000000001,13416,5,0.092,15241,5,42.778999999999996,1472,1,17.527,17185,6,RM124PD,RM12 4PD,RM12 4PD,198001,199707,0,E00000197,E02000004,E09000002,Barking and Dagenham 003D,Barking and Dagenham 003,Barking and Dagenham,,1908931
E01000040,39,Barking and Dagenham 019A,E09000002,Barking and Dagenham,34.608000000000004,6028,2,0.218,5648,2,0.12300000000000001,9313,3,31.331999999999997,8063,3,0.155,13665,5,0.607,7641,3,45.801,915,1,29.323,9203,3,IG119RT,IG11 9RT,IG11 9RT,198001,0,0,E00000223,E02000020,E09000002,Barking and Dagenham 019A,Barking and Dagenham 019,Barking and Dagenham,,1050156
E01000041,40,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.173,6601,3,0.172,8647,3,0.105,11669,4,33.867,7142,3,0.349,10992,4,0.43200000000000005,10010,4,48.606,501,1,33.126999999999995,7142,3,RM9 4SX,RM9  4SX,RM9 4SX,198001,199707,1,E00000209,E02000018,E09000002,Barking and Dagenham 017A,Barking and Dagenham 017,Barking and Dagenham,,1920023
E01000042,41,Barking and Dagenham 017B,E09000002,Barking and Dagenham,41.573,3842,2,0.263,3492,2,0.16399999999999998,5445,2,31.45,8009,3,0.526,8795,3,0.263,12499,4,57.015,32,1,24.75,11945,4,IG119JT,IG11 9JT,IG11 9JT,199512,199706,1,E00000211,E02000018,E09000002,Barking and Dagenham 017B,Barking and Dagenham 017,Barking and Dagenham,,1050009
E01000043,42,Barking and Dagenham 019B,E09000002,Barking and Dagenham,28.075,8992,3,0.147,10803,4,0.085,15314,5,28.945999999999998,8996,3,0.044000000000000004,15334,5,0.574,8080,3,42.92100000000001,1445,1,33.853,6764,3,IG119JU,IG11 9JU,IG11 9JU,200212,0,0,E00000227,E02000020,E09000002,Barking and Dagenham 019B,Barking and Dagenham 019,Barking and Dagenham,,1050010
E01000044,43,Barking and Dagenham 016D,E09000002,Barking and Dagenham,28.389,8825,3,0.133,12202,4,0.079,16632,6,22.263,12369,4,-0.41,22250,7,1.077,2950,1,42.638000000000005,1507,1,44.13,3119,1,IG117QL,IG11 7QL,IG11 7QL,198001,0,0,E00000201,E02000017,E09000002,Barking and Dagenham 016D,Barking and Dagenham 016,Barking and Dagenham,,1049501
E01000045,44,Barking and Dagenham 017C,E09000002,Barking and Dagenham,35.688,5639,2,0.188,7494,3,0.125,9056,3,24.013,11338,4,0.27899999999999997,11924,4,1.214,2160,1,44.513999999999996,1145,1,35.245,6123,2,IG119NX,IG11 9NX,IG11 9NX,198001,0,0,E00000226,E02000018,E09000002,Barking and Dagenham 017C,Barking and Dagenham 017,Barking and Dagenham,,1050106
E01000046,45,Barking and Dagenham 017D,E09000002,Barking and Dagenham,29.763,8138,3,0.17,8795,3,0.111,10956,4,28.185,9321,3,0.222,12756,4,-0.026000000000000002,17088,6,45.338,996,1,30.26,8655,3,RM9 4ST,RM9  4ST,RM9 4ST,198001,0,0,E00000204,E02000018,E09000002,Barking and Dagenham 017D,Barking and Dagenham 017,Barking and Dagenham,,1920008
E01000048,46,Barking and Dagenham 021B,E09000002,Barking and Dagenham,44.70399999999999,3117,1,0.341,1195,1,0.182,4191,2,26.49,10073,4,0.495,9163,3,0.24600000000000002,12778,4,49.012,449,1,20.578000000000003,14836,5,IG117EH,IG11 7EH,IG11 7EH,198001,0,0,E00000241,E02000022,E09000002,Barking and Dagenham 021B,Barking and Dagenham 021,Barking and Dagenham,,1049210
E01000049,47,Barking and Dagenham 021C,E09000002,Barking and Dagenham,41.172,3928,2,0.29,2525,1,0.14300000000000002,7156,3,27.851999999999997,9454,3,0.409,10214,4,0.376,10784,4,55.298,58,1,26.588,10818,4,IG110AT,IG11 0AT,IG11 0AT,198001,0,0,E00000244,E02000022,E09000002,Barking and Dagenham 021C,Barking and Dagenham 021,Barking and Dagenham,,1048473
E01000050,48,Barking and Dagenham 019C,E09000002,Barking and Dagenham,34.701,5994,2,0.17600000000000002,8360,3,0.114,10452,4,22.642,12144,4,0.61,7817,3,0.74,6059,2,48.003,567,1,36.588,5545,2,IG117ER,IG11 7ER,IG11 7ER,199405,199912,1,E00000260,E02000020,E09000002,Barking and Dagenham 019C,Barking and Dagenham 019,Barking and Dagenham,,1049216
E01000051,49,Barking and Dagenham 021D,E09000002,Barking and Dagenham,36.941,5228,2,0.23399999999999999,4785,2,0.13,8540,3,28.197,9315,3,0.391,10460,4,0.8590000000000001,4814,2,45.996,892,1,27.521,10252,4,IG117AD,IG11 7AD,IG11 7AD,198001,0,0,E00000256,E02000022,E09000002,Barking and Dagenham 021D,Barking and Dagenham 021,Barking and Dagenham,,1049064
E01000052,50,Barking and Dagenham 019D,E09000002,Barking and Dagenham,33.284,6549,2,0.188,7440,3,0.111,10931,4,27.403000000000002,9645,3,-0.153,18434,6,0.335,11417,4,51.773999999999994,163,1,38.532,4788,2,IG119LH,IG11 9LH,IG11 9LH,200112,200309,1,E00000252,E02000020,E09000002,Barking and Dagenham 019D,Barking and Dagenham 019,Barking and Dagenham,,1050021
E01000053,51,Barking and Dagenham 020A,E09000002,Barking and Dagenham,40.044000000000004,4249,2,0.22899999999999998,5037,2,0.126,8972,3,27.703000000000003,9519,3,0.701,6865,3,1.217,2144,1,49.479,395,1,26.503,10870,4,RM9 6BQ,RM9  6BQ,RM9 6BQ,198001,0,0,E00000278,E02000021,E09000002,Barking and Dagenham 020A,Barking and Dagenham 020,Barking and Dagenham,,1920404
E01000054,52,Barking and Dagenham 018A,E09000002,Barking and Dagenham,29.788,8124,3,0.18,8012,3,0.096,13318,5,26.697,9978,4,0.198,13087,4,0.514,8887,3,42.507,1537,1,31.480999999999998,8004,3,RM9 6DT,RM9  6DT,RM9 6DT,198001,0,0,E00000292,E02000019,E09000002,Barking and Dagenham 018A,Barking and Dagenham 018,Barking and Dagenham,,1920428
E01000055,53,Barking and Dagenham 018B,E09000002,Barking and Dagenham,30.898000000000003,7604,3,0.21100000000000002,6032,2,0.114,10475,4,27.143,9752,3,0.126,14090,5,0.047,15940,5,43.185,1392,1,29.369,9167,3,RM9 4TU,RM9  4TU,RM9 4TU,198001,0,0,E00000296,E02000019,E09000002,Barking and Dagenham 018B,Barking and Dagenham 018,Barking and Dagenham,,1920040
E01000056,54,Barking and Dagenham 018C,E09000002,Barking and Dagenham,35.903,5571,2,0.19699999999999998,6839,3,0.14400000000000002,7099,3,25.304000000000002,10670,4,0.455,9652,3,0.485,9269,3,51.736000000000004,165,1,23.506,12777,4,RM9 6EL,RM9  6EL,RM9 6EL,198001,0,0,E00000295,E02000019,E09000002,Barking and Dagenham 018C,Barking and Dagenham 018,Barking and Dagenham,,1920442
E01000057,55,Barking and Dagenham 012A,E09000002,Barking and Dagenham,32.887,6712,3,0.196,6909,3,0.11800000000000001,9877,4,31.462,8006,3,0.09699999999999999,14559,5,0.644,7156,3,43.725,1279,1,30.046,8781,3,RM9 4SL,RM9  4SL,RM9 4SL,198001,199405,1,E00000290,E02000013,E09000002,Barking and Dagenham 012A,Barking and Dagenham 012,Barking and Dagenham,,1920001
E01000058,56,Barking and Dagenham 018D,E09000002,Barking and Dagenham,31.763,7176,3,0.19899999999999998,6736,3,0.11699999999999999,10069,4,25.845,10397,4,0.147,13772,5,0.358,11053,4,46.251000000000005,848,1,27.809,10066,4,RM9 6BX,RM9  6BX,RM9 6BX,198001,0,0,E00175114,E02000019,E09000002,Barking and Dagenham 018D,Barking and Dagenham 018,Barking and Dagenham,,1920409
E01000059,57,Barking and Dagenham 013C,E09000002,Barking and Dagenham,32.330999999999996,6950,3,0.17600000000000002,8297,3,0.129,8597,3,28.14,9341,3,0.136,13932,5,0.414,10248,4,45.24100000000001,1021,1,32.699,7356,3,RM9 6BN,RM9  6BN,RM9 6BN,199906,199912,1,E00000289,E02000014,E09000002,Barking and Dagenham 013C,Barking and Dagenham 013,Barking and Dagenham,,1920402
E01000060,58,Barking and Dagenham 006B,E09000002,Barking and Dagenham,36.154,5475,2,0.20199999999999999,6512,2,0.129,8627,3,25.54,10548,4,0.282,11879,4,1.109,2737,1,48.53,509,1,24.729,11955,4,RM107EX,RM10 7EX,RM10 7EX,198001,0,0,E00000308,E02000007,E09000002,Barking and Dagenham 006B,Barking and Dagenham 006,Barking and Dagenham,,1906959
E01000061,59,Barking and Dagenham 006C,E09000002,Barking and Dagenham,46.283,2802,1,0.303,2125,1,0.18600000000000003,3923,2,39.775999999999996,5414,2,1.013,4136,2,0.145,14393,5,49.626999999999995,375,1,15.967,18454,6,RM107AQ,RM10 7AQ,RM10 7AQ,198001,0,0,E00000328,E02000007,E09000002,Barking and Dagenham 006C,Barking and Dagenham 006,Barking and Dagenham,,1906879
E01000062,60,Barking and Dagenham 006D,E09000002,Barking and Dagenham,26.669,9781,3,0.14300000000000002,11124,4,0.08800000000000001,14664,5,30.73,8286,3,-0.14300000000000002,18285,6,0.5579999999999999,8288,3,45.088,1042,1,20.153,15164,5,RM107FR,RM10 7FR,RM10 7FR,201712,0,0,E00000322,E02000007,E09000002,Barking and Dagenham 006D,Barking and Dagenham 006,Barking and Dagenham,,1906973
E01000063,61,Barking and Dagenham 004A,E09000002,Barking and Dagenham,33.371,6520,2,0.18100000000000002,7943,3,0.124,9225,3,37.624,6017,2,0.28600000000000003,11816,4,0.342,11295,4,41.886,1689,1,35.452,6036,2,RM107LJ,RM10 7LJ,RM10 7LJ,198001,0,0,E00000298,E02000005,E09000002,Barking and Dagenham 004A,Barking and Dagenham 004,Barking and Dagenham,,1907517
E01000064,62,Barking and Dagenham 006E,E09000002,Barking and Dagenham,35.283,5791,2,0.20800000000000002,6220,2,0.13,8440,3,24.438000000000002,11115,4,0.39,10490,4,0.212,13303,5,50.053999999999995,310,1,34.175,6602,3,RM107ED,RM10 7ED,RM10 7ED,198001,0,0,E00000307,E02000007,E09000002,Barking and Dagenham 006E,Barking and Dagenham 006,Barking and Dagenham,,1906868
