,LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
27,E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,40.078,4240,2,0.26,3610,2,0.155,6080,2,27.699,9522,3,1.138,3254,1,-0.111,18303,6,48.625,494,1,16.282,18166,6
28,E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,22.503,12389,4,0.113,14506,5,0.075,17567,6,17.349,15570,5,-0.28,20355,7,0.35,11162,4,47.51,627,1,21.974,13867,5
29,E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,38.415,4760,2,0.264,3448,2,0.162,5569,2,38.753,5699,2,0.016,15751,5,0.499,9086,3,44.592,1127,1,20.993,14570,5
30,E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,22.672,12267,4,0.126,12951,4,0.075,17380,6,12.953,19087,6,0.046,15303,5,0.919,4231,2,34.14,4505,2,27.703,10136,4
31,E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,29.958,8037,3,0.146,10854,4,0.106,11603,4,23.035,11882,4,0.095,14597,5,0.913,4275,2,39.922,2210,1,38.369,4853,2
32,E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,37.978,4879,2,0.257,3732,2,0.136,7857,3,32.037,7805,3,0.278,11932,4,0.162,14128,5,55.686,52,1,21.763,14002,5
33,E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,35.895,5575,2,0.216,5759,2,0.147,6863,3,33.858,7148,3,0.661,7279,3,0.302,11900,4,45.083,1044,1,18.01,16800,6
34,E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,26.175,10070,4,0.15,10489,4,0.092,13897,5,25.536,10551,4,0.397,10364,4,0.242,12838,4,39.025,2476,1,23.071,13084,4
35,E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,19.27,15028,5,0.112,14690,5,0.073,17997,6,15.969,16612,6,-0.185,18923,6,0.386,10655,4,31.724,5829,2,27.612,10188,4
36,E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,17.988,16128,5,0.096,16924,6,0.101,12386,4,20.288,13611,5,-0.504,23465,8,-0.067,17649,6,29.715,7168,3,19.057,15997,5
37,E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,19.646,14671,5,0.127,12877,4,0.079,16560,6,18.702,14630,5,-0.103,17616,6,0.204,13426,5,27.945,8490,3,27.001,10547,4
38,E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.288,12542,4,0.127,12861,4,0.074,17820,6,19.753,13908,5,0.173,13416,5,0.092,15241,5,42.779,1472,1,17.527,17185,6
39,E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,34.608,6028,2,0.218,5648,2,0.123,9313,3,31.332,8063,3,0.155,13665,5,0.607,7641,3,45.801,915,1,29.323,9203,3
40,E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.173,6601,3,0.172,8647,3,0.105,11669,4,33.867,7142,3,0.349,10992,4,0.432,10010,4,48.606,501,1,33.127,7142,3
41,E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,41.573,3842,2,0.263,3492,2,0.164,5445,2,31.45,8009,3,0.526,8795,3,0.263,12499,4,57.015,32,1,24.75,11945,4
42,E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,28.075,8992,3,0.147,10803,4,0.085,15314,5,28.946,8996,3,0.044,15334,5,0.574,8080,3,42.921,1445,1,33.853,6764,3
43,E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,28.389,8825,3,0.133,12202,4,0.079,16632,6,22.263,12369,4,-0.41,22250,7,1.077,2950,1,42.638,1507,1,44.13,3119,1
44,E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,35.688,5639,2,0.188,7494,3,0.125,9056,3,24.013,11338,4,0.279,11924,4,1.214,2160,1,44.514,1145,1,35.245,6123,2
45,E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,29.763,8138,3,0.17,8795,3,0.111,10956,4,28.185,9321,3,0.222,12756,4,-0.026,17088,6,45.338,996,1,30.26,8655,3
46,E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,44.704,3117,1,0.341,1195,1,0.182,4191,2,26.49,10073,4,0.495,9163,3,0.246,12778,4,49.012,449,1,20.578,14836,5
47,E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,41.172,3928,2,0.29,2525,1,0.143,7156,3,27.852,9454,3,0.409,10214,4,0.376,10784,4,55.298,58,1,26.588,10818,4
48,E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,34.701,5994,2,0.176,8360,3,0.114,10452,4,22.642,12144,4,0.61,7817,3,0.74,6059,2,48.003,567,1,36.588,5545,2
49,E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,36.941,5228,2,0.234,4785,2,0.13,8540,3,28.197,9315,3,0.391,10460,4,0.859,4814,2,45.996,892,1,27.521,10252,4
50,E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,33.284,6549,2,0.188,7440,3,0.111,10931,4,27.403,9645,3,-0.153,18434,6,0.335,11417,4,51.774,163,1,38.532,4788,2
51,E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,40.044,4249,2,0.229,5037,2,0.126,8972,3,27.703,9519,3,0.701,6865,3,1.217,2144,1,49.479,395,1,26.503,10870,4
52,E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,29.788,8124,3,0.18,8012,3,0.096,13318,5,26.697,9978,4,0.198,13087,4,0.514,8887,3,42.507,1537,1,31.481,8004,3
53,E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,30.898,7604,3,0.211,6032,2,0.114,10475,4,27.143,9752,3,0.126,14090,5,0.047,15940,5,43.185,1392,1,29.369,9167,3
54,E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,35.903,5571,2,0.197,6839,3,0.144,7099,3,25.304,10670,4,0.455,9652,3,0.485,9269,3,51.736,165,1,23.506,12777,4
55,E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,32.887,6712,3,0.196,6909,3,0.118,9877,4,31.462,8006,3,0.097,14559,5,0.644,7156,3,43.725,1279,1,30.046,8781,3
56,E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,31.763,7176,3,0.199,6736,3,0.117,10069,4,25.845,10397,4,0.147,13772,5,0.358,11053,4,46.251,848,1,27.809,10066,4
57,E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,32.331,6950,3,0.176,8297,3,0.129,8597,3,28.14,9341,3,0.136,13932,5,0.414,10248,4,45.241,1021,1,32.699,7356,3
58,E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,36.154,5475,2,0.202,6512,2,0.129,8627,3,25.54,10548,4,0.282,11879,4,1.109,2737,1,48.53,509,1,24.729,11955,4
59,E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,46.283,2802,1,0.303,2125,1,0.186,3923,2,39.776,5414,2,1.013,4136,2,0.145,14393,5,49.627,375,1,15.967,18454,6
60,E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,26.669,9781,3,0.143,11124,4,0.088,14664,5,30.73,8286,3,-0.143,18285,6,0.558,8288,3,45.088,1042,1,20.153,15164,5
61,E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,33.371,6520,2,0.181,7943,3,0.124,9225,3,37.624,6017,2,0.286,11816,4,0.342,11295,4,41.886,1689,1,35.452,6036,2
62,E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,35.283,5791,2,0.208,6220,2,0.13,8440,3,24.438,11115,4,0.39,10490,4,0.212,13303,5,50.054,310,1,34.175,6602,3
63,E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,39.89,4296,2,0.228,5065,2,0.173,4770,2,26.185,10220,4,0.817,5745,2,0.324,11574,4,47.453,634,1,29.31,9210,3
64,E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,25.763,10329,4,0.147,10725,4,0.097,13108,4,18.294,14926,5,0.054,15169,5,-0.273,20658,7,50.656,249,1,17.916,16885,6
65,E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,20.973,13573,5,0.132,12329,4,0.066,19905,7,15.99,16594,6,-0.388,21963,7,0.381,10735,4,42.456,1551,1,21.711,14035,5
66,E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,25.603,10421,4,0.123,13349,5,0.075,17599,6,16.187,16416,5,0.167,13509,5,0.946,3970,2,41.502,1777,1,31.382,8062,3
67,E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,16.375,17580,6,0.087,18292,6,0.07,18888,6,16.481,16211,5,-0.626,25051,8,0.032,16201,5,31.781,5792,2,28.36,9748,3
68,E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,21.038,13531,5,0.11,14981,5,0.077,17070,6,14.434,17805,6,-0.442,22662,7,0.84,5018,2,35.596,3806,2,27.639,10170,4
69,E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,18.848,15370,5,0.13,12518,4,0.058,22157,7,14.114,18062,6,-0.261,20051,7,-0.155,18962,6,40.981,1935,1,22.064,13807,5
70,E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,41.016,3974,2,0.241,4451,2,0.138,7689,3,34.242,7028,3,0.478,9357,3,1.197,2249,1,46.957,722,1,30.082,8754,3
71,E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,38.757,4645,2,0.209,6133,2,0.135,7982,3,35.14,6712,3,0.57,8284,3,1.346,1554,1,43.442,1340,1,23.636,12681,4
72,E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,35.044,5870,2,0.234,4794,2,0.128,8763,3,32.398,7662,3,0.461,9581,3,0.005,16602,6,47.408,641,1,22.806,13256,5
73,E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,36.999,5215,2,0.196,6873,3,0.118,9943,4,36.347,6343,2,0.136,13939,5,1.057,3101,1,44.869,1086,1,39.815,4325,2
74,E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,36.246,5451,2,0.208,6177,2,0.148,6722,3,36.193,6380,2,0.097,14560,5,0.287,12141,4,49.87,338,1,27.02,10531,4
75,E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,41.032,3967,2,0.251,3973,2,0.159,5768,2,33.494,7276,3,0.725,6631,3,0.487,9244,3,44.143,1218,1,35.02,6233,2
76,E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,35.033,5874,2,0.228,5086,2,0.128,8778,3,33.668,7216,3,0.035,15460,5,0.467,9512,3,44.311,1183,1,33.091,7156,3
77,E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,34.522,6057,2,0.227,5141,2,0.141,7379,3,24.526,11072,4,0.045,15314,5,0.253,12695,4,48.007,566,1,29.325,9200,3
78,E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,33.185,6596,3,0.19,7274,3,0.146,6934,3,26.379,10114,4,0.445,9777,3,0.145,14386,5,45.385,989,1,24.492,12095,4
79,E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,30.608,7738,3,0.162,9449,3,0.116,10130,4,30.952,8201,3,0.225,12703,4,0.192,13643,5,43.718,1281,1,32.758,7318,3
80,E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,27.895,9100,3,0.158,9753,3,0.113,10671,4,31.053,8160,3,-0.111,17747,6,-0.221,19918,7,43.176,1396,1,30.006,8806,3
81,E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,34.377,6111,2,0.196,6904,3,0.134,8025,3,27.072,9793,3,0.361,10842,4,0.434,9982,4,44.245,1199,1,35.395,6063,2
82,E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,39.815,4315,2,0.229,5030,2,0.141,7393,3,36.839,6237,2,0.338,11120,4,1.309,1715,1,43.432,1344,1,28.534,9648,3
83,E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,35.154,5838,2,0.189,7390,3,0.124,9203,3,36.259,6360,2,-0.227,19518,6,1.036,3245,1,46.139,871,1,32.465,7484,3
84,E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,38.156,4822,2,0.218,5632,2,0.142,7318,3,28.503,9185,3,0.89,5137,2,0.868,4717,2,42.757,1477,1,26.281,11002,4
85,E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,34.357,6122,2,0.226,5212,2,0.131,8331,3,27.171,9744,3,0.046,15307,5,0.135,14563,5,48.565,506,1,31.357,8076,3
86,E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,28.849,8574,3,0.147,10790,4,0.1,12495,4,20.313,13589,5,0.264,12126,4,0.552,8365,3,44.005,1238,1,34.525,6458,2
87,E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,28.968,8508,3,0.156,9981,4,0.092,13980,5,25.246,10703,4,-0.154,18445,6,0.189,13690,5,47.254,668,1,40.955,3962,2
88,E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,28.317,8873,3,0.169,8855,3,0.091,14060,5,22.024,12523,4,-0.187,18942,6,0.7,6503,2,45.475,973,1,29.464,9116,3
89,E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,42.183,3669,2,0.256,3775,2,0.175,4635,2,32.562,7594,3,0.324,11282,4,0.994,3573,2,48.266,540,1,23.563,12738,4
90,E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,33.768,6348,2,0.215,5804,2,0.106,11606,4,18.788,14566,5,-0.008,16131,5,0.657,7000,3,61.059,11,1,29.993,8818,3
91,E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,46.922,2669,1,0.26,3596,2,0.169,5065,2,27.955,9411,3,0.842,5519,2,1.073,2977,1,49.657,370,1,43.57,3282,1
92,E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,28.182,8930,3,0.167,9003,3,0.094,13554,5,10.866,21017,7,-0.036,16555,6,0.524,8737,3,64.961,4,1,20.692,14763,5
93,E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,32.254,6984,3,0.196,6925,3,0.095,13425,5,22.314,12341,4,-0.111,17759,6,0.944,3990,2,63.151,7,1,18.657,16305,5
94,E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,40.926,3997,2,0.259,3651,2,0.135,7977,3,34.307,7010,3,0.008,15882,5,1.284,1816,1,48.317,534,1,29.982,8823,3
95,E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,38.009,4866,2,0.223,5351,2,0.131,8344,3,32.926,7462,3,0.808,5831,2,0.468,9503,3,47.096,692,1,28.566,9628,3
96,E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,39.405,4455,2,0.239,4575,2,0.159,5822,2,31.389,8040,3,0.443,9792,3,0.911,4288,2,43.482,1332,1,28.673,9574,3
97,E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,29.266,8373,3,0.174,8476,3,0.105,11800,4,25.037,10808,4,0.214,12858,4,0.008,16553,6,47.111,688,1,26.795,10685,4
98,E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,31.83,7152,3,0.16,9665,3,0.117,10100,4,29.622,8731,3,0.106,14418,5,0.634,7277,3,42.938,1444,1,38.207,4920,2
99,E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,40.463,4126,2,0.254,3849,2,0.154,6223,2,28.988,8974,3,0.464,9545,3,0.832,5094,2,43.29,1362,1,37.223,5302,2
100,E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,42.631,3557,2,0.275,3043,1,0.175,4646,2,23.976,11364,4,0.684,7036,3,0.762,5806,2,44.376,1167,1,33.8,6799,3
101,E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,32.894,6708,3,0.18,8028,3,0.113,10618,4,26.208,10205,4,0.427,9979,4,0.58,7987,3,50.872,227,1,20.068,15230,5
102,E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,34.672,6002,2,0.222,5419,2,0.134,8092,3,31.664,7929,3,0.276,11958,4,0.131,14637,5,50.107,304,1,18.066,16764,6
103,E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,44.149,3229,1,0.246,4221,2,0.165,5349,2,36.132,6402,2,0.932,4774,2,1.039,3225,1,47.24,670,1,25.589,11416,4
104,E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,43.523,3355,2,0.275,3032,1,0.167,5211,2,27.219,9725,3,0.636,7543,3,0.786,5569,2,51.428,180,1,26.265,11010,4
105,E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,28.332,8865,3,0.151,10392,4,0.095,13329,5,29.324,8851,3,0.579,8175,3,-0.027,17090,6,44.429,1156,1,22.813,13252,5
106,E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,28.166,8940,3,0.171,8694,3,0.104,11946,4,20.596,13397,5,0.158,13637,5,0.183,13794,5,41.045,1914,1,35.136,6178,2
107,E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,25.691,10373,4,0.12,13637,5,0.084,15539,5,22.485,12247,4,-0.199,19119,6,0.891,4478,2,39.755,2272,1,34.149,6609,3
108,E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,17.741,16365,5,0.112,14678,5,0.078,16725,6,12.848,19168,6,-0.002,16046,5,-0.312,21211,7,32.872,5156,2,20.544,14867,5
109,E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,28.903,8544,3,0.174,8457,3,0.111,10920,4,20.878,13216,5,0.187,13246,5,0.313,11745,4,44.339,1179,1,26.789,10690,4
110,E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,24.743,10925,4,0.129,12627,4,0.065,19995,7,18.969,14420,5,-0.324,21026,7,0.602,7729,3,43.159,1404,1,40.766,4026,2
111,E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,25.268,10601,4,0.152,10322,4,0.081,16043,5,16.983,15827,5,-0.122,17933,6,0.708,6421,2,42.208,1615,1,26.945,10582,4
112,E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,23.288,11855,4,0.119,13863,5,0.074,17792,6,19.124,14308,5,-0.117,17851,6,0.423,10125,4,40.755,1978,1,34.274,6563,2
113,E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham,34.123,6215,2,0.191,7241,3,0.132,8299,3,22.768,12054,4,0.527,8769,3,0.892,4470,2,43.804,1267,1,24.616,12013,4
114,E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham,35.019,5880,2,0.2,6678,3,0.11,11085,4,20.416,13528,5,-0.149,18379,6,0.669,6865,3,58.179,22,1,43.024,3399,2
115,E01033588,Barking and Dagenham 021F,E09000002,Barking and Dagenham,35.248,5808,2,0.219,5616,2,0.127,8809,3,23.479,11625,4,0.505,9037,3,0.316,11702,4,54.585,72,1,19.996,15294,5
116,E01000115,Barnet 009A,E09000003,Barnet,6.227,29174,9,0.055,24852,8,0.046,26011,8,3.734,28835,9,-1.526,31772,10,-0.545,24388,8,17.004,20425,7,18.838,16164,5
117,E01000116,Barnet 009B,E09000003,Barnet,7.79,27318,9,0.074,20597,7,0.049,25160,8,3.87,28684,9,-1.412,31379,10,-0.43,22839,7,19.173,17651,6,18.248,16614,6
118,E01000117,Barnet 010A,E09000003,Barnet,9.642,24958,8,0.071,21222,7,0.062,21069,7,6.077,26087,8,-1.141,29887,10,-0.168,19170,6,21.506,14896,5,17.66,17080,6
119,E01000118,Barnet 010B,E09000003,Barnet,9.812,24743,8,0.077,20191,7,0.059,21699,7,8.59,23320,8,-1.679,32170,10,-0.206,19710,7,22.339,13923,5,16.261,18191,6
120,E01000119,Barnet 009C,E09000003,Barnet,11.589,22657,7,0.078,19862,7,0.054,23311,8,3.312,29365,9,-1.884,32503,10,0.627,7366,3,23.519,12644,4,21.949,13884,5
