,interval_start,interval_end,ratio,numerator,denominator,sex,age_band
64,2020-04-01,2021-03-31,0.0007351111420510068,1415.0,1924879,female,55 to 64
65,2020-04-01,2021-03-31,0.0003329078001656386,490.0,1471879,female,65 to 74
66,2020-04-01,2021-03-31,0.00021329187238691146,304.0,1425277,female,75 and over
67,2020-04-01,2021-03-31,0.006707489989245646,13553.0,2020577,male,0 to 9
68,2020-04-01,2021-03-31,0.03663288046292267,61199.0,1670603,male,10 to 17
69,2020-04-01,2021-03-31,0.03054592077458343,44218.0,1447591,male,18 to 24
70,2020-04-01,2021-03-31,0.01820840603855317,46843.0,2572603,male,25 to 34
71,2020-04-01,2021-03-31,0.0049904044417694235,12578.0,2520437,male,35 to 44
72,2020-04-01,2021-03-31,0.0021815941489405,5092.0,2334073,male,45 to 54
73,2020-04-01,2021-03-31,0.0010219595697922015,2034.0,1990294,male,55 to 64
74,2020-04-01,2021-03-31,0.00044972033016967575,624.0,1387529,male,65 to 74
75,2020-04-01,2021-03-31,0.00022803064359554995,245.0,1074417,male,75 and over
77,2019-04-01,2020-03-31,0.0018466168386040746,3662.0,1983086,female,0 to 9
78,2019-04-01,2020-03-31,0.009161943752768823,14394.0,1571064,female,10 to 17
79,2019-04-01,2020-03-31,0.00775353079136838,12113.0,1562256,female,18 to 24
80,2019-04-01,2020-03-31,0.0043796502205970065,11529.0,2632402,female,25 to 34
81,2019-04-01,2020-03-31,0.0018873021852371876,4464.0,2365281,female,35 to 44
82,2019-04-01,2020-03-31,0.0012025136356055522,2675.0,2224507,female,45 to 54
83,2019-04-01,2020-03-31,0.0006264305123906055,1187.0,1894863,female,55 to 64
84,2019-04-01,2020-03-31,0.0002876776931887085,427.0,1484300,female,65 to 74
85,2019-04-01,2020-03-31,0.0002297126377929874,332.0,1445284,female,75 and over
86,2019-04-01,2020-03-31,0.0069830038041593994,14562.0,2085349,male,0 to 9
87,2019-04-01,2020-03-31,0.03446748581954982,56731.0,1645928,male,10 to 17
88,2019-04-01,2020-03-31,0.028680098892696557,42423.0,1479179,male,18 to 24
89,2019-04-01,2020-03-31,0.016357917380688914,42249.0,2582786,male,25 to 34
90,2019-04-01,2020-03-31,0.003978780906996449,9899.0,2487948,male,35 to 44
91,2019-04-01,2020-03-31,0.0018487050597876381,4367.0,2362194,male,45 to 54
92,2019-04-01,2020-03-31,0.0008730658420533363,1707.0,1955179,male,55 to 64
93,2019-04-01,2020-03-31,0.0004147220611400423,580.0,1398527,male,65 to 74
94,2019-04-01,2020-03-31,0.00022607738279587877,246.0,1088123,male,75 and over
96,2018-04-01,2019-03-31,0.001688718855450692,3360.0,1989674,female,0 to 9
97,2018-04-01,2019-03-31,0.008241740066976542,12458.0,1511574,female,10 to 17
98,2018-04-01,2019-03-31,0.007000361775802367,10836.0,1547920,female,18 to 24
99,2018-04-01,2019-03-31,0.0036704691476397867,9509.0,2590677,female,25 to 34
100,2018-04-01,2019-03-31,0.001541047181358157,3543.0,2299086,female,35 to 44
101,2018-04-01,2019-03-31,0.0009916661210094583,2196.0,2214455,female,45 to 54
102,2018-04-01,2019-03-31,0.0005479686724443137,998.0,1821272,female,55 to 64
103,2018-04-01,2019-03-31,0.00028365486566964707,416.0,1466571,female,65 to 74
104,2018-04-01,2019-03-31,0.00023828760044386352,338.0,1418454,female,75 and over
105,2018-04-01,2019-03-31,0.006533584691268755,13662.0,2091042,male,0 to 9
106,2018-04-01,2019-03-31,0.03221587410757294,50963.0,1581922,male,10 to 17
107,2018-04-01,2019-03-31,0.02755908207136402,40255.0,1460680,male,18 to 24
108,2018-04-01,2019-03-31,0.014558135902232061,36907.0,2535146,male,25 to 34
109,2018-04-01,2019-03-31,0.003188807949895478,7711.0,2418145,male,35 to 44
110,2018-04-01,2019-03-31,0.0015772850512638934,3704.0,2348339,male,45 to 54
111,2018-04-01,2019-03-31,0.0007571798782113492,1420.0,1875380,male,55 to 64
112,2018-04-01,2019-03-31,0.00037569084769319307,519.0,1381455,male,65 to 74
113,2018-04-01,2019-03-31,0.0002482736485370263,263.0,1059315,male,75 and over
115,2017-04-01,2018-03-31,0.0015568500401219065,3112.0,1998908,female,0 to 9
116,2017-04-01,2018-03-31,0.007492344733749431,10991.0,1466964,female,10 to 17
117,2017-04-01,2018-03-31,0.00627331980633209,9671.0,1541608,female,18 to 24
118,2017-04-01,2018-03-31,0.0030523550491299194,7844.0,2569819,female,25 to 34
119,2017-04-01,2018-03-31,0.0012704578475016617,2869.0,2258241,female,35 to 44
120,2017-04-01,2018-03-31,0.000832672517927719,1846.0,2216958,female,45 to 54
121,2017-04-01,2018-03-31,0.0004847405704666858,857.0,1767956,female,55 to 64
122,2017-04-01,2018-03-31,0.00027945227354385404,406.0,1452842,female,65 to 74
123,2017-04-01,2018-03-31,0.00025283312371039034,354.0,1400133,female,75 and over
124,2017-04-01,2018-03-31,0.006104782166699854,12815.0,2099174,male,0 to 9
125,2017-04-01,2018-03-31,0.030178560609564708,46324.0,1534997,male,10 to 17
126,2017-04-01,2018-03-31,0.026735954313658543,38839.0,1452688,male,18 to 24
127,2017-04-01,2018-03-31,0.01272529156203084,31777.0,2497153,male,25 to 34
128,2017-04-01,2018-03-31,0.0025888684561267356,6138.0,2370920,male,35 to 44
129,2017-04-01,2018-03-31,0.00133098552206745,3121.0,2344879,male,45 to 54
130,2017-04-01,2018-03-31,0.0006629871978493664,1204.0,1816023,male,55 to 64
131,2017-04-01,2018-03-31,0.0003489731210389178,478.0,1369733,male,65 to 74
132,2017-04-01,2018-03-31,0.000274272911204145,284.0,1035465,male,75 and over
134,2016-04-01,2017-03-31,0.0014976417281993353,2987.0,1994469,female,0 to 9
135,2016-04-01,2017-03-31,0.0068041399283419925,9689.0,1423986,female,10 to 17
136,2016-04-01,2017-03-31,0.005747739482055574,8783.0,1528079,female,18 to 24
137,2016-04-01,2017-03-31,0.002539809709824074,6429.0,2531292,female,25 to 34
138,2016-04-01,2017-03-31,0.001069983209147703,2375.0,2219661,female,35 to 44
139,2016-04-01,2017-03-31,0.0007230615324002375,1593.0,2203132,female,45 to 54
140,2016-04-01,2017-03-31,0.00046905356322993907,803.0,1711958,female,55 to 64
141,2016-04-01,2017-03-31,0.00027280078722512885,392.0,1436946,female,65 to 74
142,2016-04-01,2017-03-31,0.0002685938394340283,374.0,1392437,female,75 and over
143,2016-04-01,2017-03-31,0.0057248391172193035,11990.0,2094382,male,0 to 9
144,2016-04-01,2017-03-31,0.028299226554946825,42150.0,1489440,male,10 to 17
145,2016-04-01,2017-03-31,0.02569762708850525,36996.0,1439666,male,18 to 24
146,2016-04-01,2017-03-31,0.011008818668130037,26922.0,2445494,male,25 to 34
147,2016-04-01,2017-03-31,0.002146381868658271,4996.0,2327638,male,35 to 44
148,2016-04-01,2017-03-31,0.0011513252717618115,2676.0,2324278,male,45 to 54
149,2016-04-01,2017-03-31,0.0005954587713244394,1044.0,1753270,male,55 to 64
150,2016-04-01,2017-03-31,0.0003635791261242687,492.0,1353213,male,65 to 74
151,2016-04-01,2017-03-31,0.00027964891795493235,285.0,1019135,male,75 and over
